AMPHETAMINE||Phenethylamines (Amphetamines) (S)
METHAMPHETAMINE||Phenethylamines (Amphetamines) (S)
N-ACETYLMETHAMPHETAMINE||Other substances -- steroids, phencyclidine, precursors, reagents  (DEA categories 410 - 420, 550 - 555, 800 - 820)
PHENYLPROPANOLAMINE||Phenethylamines (Amphetamines) (S)
MESOCARB||Stimulants  (DEA categories 100 - 120)
BENZPHETAMINE||Phenethylamines (Other) (S)
CATHINE||Phenethylamines (Other) (S)
CATHINONE||Phenethylamines (Other) (S)
METHCATHINONE||Synthetic Cathinones
HYDROXYAMPHETAMINE||Phenethylamines (Amphetamines) (S)
P-ALPHA-DIMETHYLPHENETHYLAMINE||Phenethylamines (Other) (S)
N-BUTYLAMPHETAMINE||Phenethylamines (Amphetamines) (S)
N-ETHYLAMPHETAMINE||Phenethylamines (Amphetamines) (S)
N,N-DIMETHYLAMPHETAMINE||Phenethylamines (Amphetamines) (S)
PYROVALERONE||Synthetic Cathinones
FENETHYLLINE||Stimulants  (DEA categories 100 - 120)
BEMEGRIDE||Stimulants  (DEA categories 100 - 120)
ETHAMIVAN||Stimulants  (DEA categories 100 - 120)
NIKETHAMIDE||Stimulants  (DEA categories 100 - 120)
PENTYLENETETRAZOL||Stimulants  (DEA categories 100 - 120)
PEMOLINE||Stimulants  (DEA categories 100 - 120)
BRUCINE||Stimulants  (DEA categories 100 - 120)
STRYCHNINE||Stimulants  (DEA categories 100 - 120)
CAFFEINE||Stimulants  (DEA categories 100 - 120)
THEOBROMINE||Stimulants  (DEA categories 100 - 120)
FENPROPOREX||Stimulants  (DEA categories 100 - 120)
MEFENOREX||Phenethylamines (Amphetamines) (S)
AMINOREX||Stimulants  (DEA categories 100 - 120)
4-METHYLAMINOREX||Stimulants  (DEA categories 100 - 120)
MAZINDOL||Stimulants  (DEA categories 100 - 120)
DIETHYLPROPION||Phenethylamines (Other) (S)
PHENDIMETRAZINE||Stimulants  (DEA categories 100 - 120)
PHENMETRAZINE||Stimulants  (DEA categories 100 - 120)
LEFETAMINE||Stimulants  (DEA categories 100 - 120)
PHENTERMINE||Phenethylamines (Amphetamines) (S)
CHLORPHENTERMINE||Phenethylamines (Other) (S)
CLORTERMINE||Stimulants  (DEA categories 100 - 120)
FENFLURAMINE||Stimulants  (DEA categories 100 - 120)
MODAFINIL||Stimulants  (DEA categories 100 - 120)
AMITRIPTYLINE||Antidepressants
DESIPRAMINE||Antidepressants
FLUOXETINE||Antidepressants
IMIPRAMINE||Antidepressants
IPRONIAZID PHOSPHATE||Stimulants  (DEA categories 100 - 120)
METHYLPHENIDATE||Piperidines/PEA
ISOCARBOXAZID||Stimulants  (DEA categories 100 - 120)
NIALAMIDE||Stimulants  (DEA categories 100 - 120)
NORTRIPTYLINE||Antidepressants
OPIPRAMOL||Stimulants  (DEA categories 100 - 120)
PIPRADROL||Stimulants  (DEA categories 100 - 120)
ZIPEPROL||Stimulants  (DEA categories 100 - 120)
PROTRIPTYLINE||Stimulants  (DEA categories 100 - 120)
FENCAMFAMIN||Stimulants  (DEA categories 100 - 120)
GHB (GAMMA HYDROXY BUTRATE; GAMMA HYDROXY BUTRYIC ACID)||Depressants and Tranquilizers  (DEA categories 200 - 300)
