N1|Amphetamine|Phenethylamines (Amphetamines) (S)|AMPHETAMINE
N2|Methamphetamine|Phenethylamines (Amphetamines) (S)|METHAMPHETAMINE
N3|N-Acetylmethamphetamine|Other substances -- steroids, phencyclidine, precursors, reagents  (DEA categories 410 - 420, 550 - 555, 800 - 820)|N-ACETYLMETHAMPHETAMINE
N4|Phenylpropanolamine|Phenethylamines (Amphetamines) (S)|PHENYLPROPANOLAMINE
N5|Mesocarb|Stimulants  (DEA categories 100 - 120)|MESOCARB
N6|Benzphetamine|Phenethylamines (Other) (S)|BENZPHETAMINE
N7|Cathine|Phenethylamines (Other) (S)|CATHINE
N8|Cathinone|Phenethylamines (Other) (S)|CATHINONE
N9|Methcathinone|Synthetic Cathinones|METHCATHINONE
N10|Hydroxyamphetamine|Phenethylamines (Amphetamines) (S)|HYDROXYAMPHETAMINE
N11|P-Alpha-Dimethylphenethylamine|Phenethylamines (Other) (S)|P-ALPHA-DIMETHYLPHENETHYLAMINE
N12|N-Butylamphetamine|Phenethylamines (Amphetamines) (S)|N-BUTYLAMPHETAMINE
N13|N-Ethylamphetamine|Phenethylamines (Amphetamines) (S)|N-ETHYLAMPHETAMINE
N14|N,N-dimethylamphetamine|Phenethylamines (Amphetamines) (S)|N,N-DIMETHYLAMPHETAMINE
N15|Pyrovalerone|Synthetic Cathinones|PYROVALERONE
N16|Fenethylline|Stimulants  (DEA categories 100 - 120)|FENETHYLLINE
N17|Bemegride|Stimulants  (DEA categories 100 - 120)|BEMEGRIDE
N18|Ethamivan|Stimulants  (DEA categories 100 - 120)|ETHAMIVAN
N19|Nikethamide|Stimulants  (DEA categories 100 - 120)|NIKETHAMIDE
N20|Pentylenetetrazol|Stimulants  (DEA categories 100 - 120)|PENTYLENETETRAZOL
N21|Pemoline|Stimulants  (DEA categories 100 - 120)|PEMOLINE
N22|Brucine|Stimulants  (DEA categories 100 - 120)|BRUCINE
N23|Strychnine|Stimulants  (DEA categories 100 - 120)|STRYCHNINE
N24|Caffeine|Stimulants  (DEA categories 100 - 120)|CAFFEINE
N25|Theobromine|Stimulants  (DEA categories 100 - 120)|THEOBROMINE
N26|Fenproporex|Stimulants  (DEA categories 100 - 120)|FENPROPOREX
N27|Mefenorex|Phenethylamines (Amphetamines) (S)|MEFENOREX
N28|Aminorex|Stimulants  (DEA categories 100 - 120)|AMINOREX
N29|4-Methylaminorex|Stimulants  (DEA categories 100 - 120)|4-METHYLAMINOREX
N30|Mazindol|Stimulants  (DEA categories 100 - 120)|MAZINDOL
N31|Diethylpropion|Phenethylamines (Other) (S)|DIETHYLPROPION
N32|Phendimetrazine|Stimulants  (DEA categories 100 - 120)|PHENDIMETRAZINE
N33|Phenmetrazine|Stimulants  (DEA categories 100 - 120)|PHENMETRAZINE
N34|Lefetamine|Stimulants  (DEA categories 100 - 120)|LEFETAMINE
N35|Phentermine|Phenethylamines (Amphetamines) (S)|PHENTERMINE
N36|Chlorphentermine|Phenethylamines (Other) (S)|CHLORPHENTERMINE
N37|Clortermine|Stimulants  (DEA categories 100 - 120)|CLORTERMINE
N38|Fenfluramine|Stimulants  (DEA categories 100 - 120)|FENFLURAMINE
N39|Modafinil|Stimulants  (DEA categories 100 - 120)|MODAFINIL
N40|Amitriptyline|Antidepressants|AMITRIPTYLINE
N41|Desipramine|Antidepressants|DESIPRAMINE
N42|Fluoxetine|Antidepressants|FLUOXETINE
N43|Imipramine|Antidepressants|IMIPRAMINE
N44|Iproniazid Phosphate|Stimulants  (DEA categories 100 - 120)|IPRONIAZID PHOSPHATE
N45|Methylphenidate|Piperidines/PEA|METHYLPHENIDATE
