acetominophen|Acetaminophen
alanzapine|olanzapine
alprazaolam|Alprazolam
alprozolam|Alprazolam
alteplace|alteplase
amiodaron|Amiodarone
amitriptylin|Amitriptyline
amitryiptyline|Amitriptyline
amityriptyline|Amitriptyline
amphetamin|Amphetamine
amytriptyline|Amitriptyline
antipyrene|Antipyrine
apixiban|apixaban
atenalol|Atenolol
benadryll|Benadryl
bubropion|Bupropion
bupivicaine|Bupivacaine
bupovacaine|Bupivacaine
bupropian|Bupropion
bupropien|Bupropion
bupropin|Bupropion
buspiron|Buspirone
butalbitol|butalbital
cabapentin|gabapentin
caffine|Caffeine
cardarone|Cordarone
carisopradol|Carisoprodol
carisoprodal|Carisoprodol
carisprodol|Carisoprodol
clipidogrel|clopidogrel
clofazamine|Clofazimine
clonacepam|Clonazepam
clonzepam|Clonazepam
clopidigrel|clopidogrel
cocain|Cocaine
codein|Codeine
corisoprodol|Carisoprodol
coroid|CORID
cortid|Cortaid
coumodin|Coumadin
cyclebenzaprine|cyclobenzaprine
cyclobenzaprene|cyclobenzaprine
cyclobenzaprin|cyclobenzaprine
cyclobenzeprine|cyclobenzaprine
cyclobenzoprine|cyclobenzaprine
cyclopenzaprine|cyclobenzaprine
cyclosporin|Cyclosporine
dextramethorphan|Dextromethorphan
dextremethorphan|Dextromethorphan
dextromathorphan|Dextromethorphan
dextromethorphen|Dextromethorphan
dextrometorphan|Dextromethorphan
dihphenhydramine|Diphenhydramine
dilitiazem|Diltiazem
diltiazom|Diltiazem
dixepin|Doxepin
doxepine|Doxepin
elanzapine|olanzapine
enebrel|Enbrel
ethaol|Ethyol
exycodone|Oxycodone
fantanyl|Fentanyl
femora|Femara
flocainide|Flecainide
floxetine|Fluoxetine
fludrabine|fludarabine
fluoxetin|Fluoxetine
fluoxitine|Fluoxetine
fluoxtine|Fluoxetine
fluxetine|Fluoxetine
gabapenten|gabapentin
gabapentine|gabapentin
gabepentin|gabapentin
gancyclovir|Ganciclovir
gapapentin|gabapentin
gentamycin|Gentamicin
glycerine|Glycerin
haloperiodol|Haloperidol
halperidol|Haloperidol
hellium|Helium
heroina|Heroin
hydrocodon|Hydrocodone
hydromorphane|Hydromorphone
hydromorphine|Hydromorphone
hydroxizine|Hydroxyzine
ibprofen|Ibuprofen
ibuprofin|Ibuprofen
integrillin|Integrilin
lamicatal|Lamictal
lamotrigene|lamotrigine
lamotrogine|lamotrigine
lamtrigine|lamotrigine
larazepam|Lorazepam
lenoxin|Lanoxin
levetiracetum|Levetiracetam
levoquin|Levaquin
lipitar|Lipitor
lisinoprill|Lisinopril
locosamide|lacosamide
lorazapam|Lorazepam
lorazpam|Lorazepam
lorzepam|Lorazepam
lovanox|Lovenox
lovenux|Lovenox
macrodanton|Macrodantin
maparotiline|Maprotiline
mathamphetamine|Methamphetamine
menthyl|Menthol
mepavacaine|Mepivacaine
mepivicaine|Mepivacaine
mertazapine|Mirtazapine
metaclopramide|Metoclopramide
methamphetamaine|Methamphetamine
methamphetamin|Methamphetamine
methamphetamne|Methamphetamine
methcarbamol|Methocarbamol
methemphetamine|Methamphetamine
methocarbamal|Methocarbamol
methylophenidate|Methylphenidate
methylphendate|Methylphenidate
metocloprmide|Metoclopramide
mettylphenidate|Methylphenidate
mifeprestone|Mifepristone
mirtazapin|Mirtazapine
mirtazapiune|Mirtazapine
mirtazepine|Mirtazapine
mirtazpine|Mirtazapine
morphone|Morphine
moxiflaxacin|moxifloxacin
mucinas|Mucins
nexavar|Nexavir
nicatine|Nicotine
nordiazepam|Nordazepam
nortriptylin|Nortriptyline
nortryptyline|Nortriptyline
olanzapane|olanzapine
olanzepine|olanzapine
oxocodone|Oxycodone
oxycodne|Oxycodone
oxyocodone|Oxycodone
paclitaxil|Paclitaxel
paroxitine|Paroxetine
phanytoin|Phenytoin
pramethazine|Promethazine
prednison|Prednisone
premerin|Premarin
premethazine|Promethazine
prepranolol|Propranolol
promethzine|Promethazine
propoxyphine|Propoxyphene
propxyphene|Propoxyphene
proxetine|Paroxetine
pyleri|Pylera
pyroxetine|Paroxetine
quaifenesin|Guaifenesin
quatiapine|quetiapine
quetiapin|quetiapine
quietiapine|quetiapine
quotiapine|quetiapine
remicaide|Remicade
resperdal|Risperdal
resperidone|Risperidone
ribaviron|Ribavirin
risperidal|Risperdal
rivaroxiban|rivaroxaban
seratraline|Sertraline
sertralaine|Sertraline
syonotic|Synotic
tamazepam|Temazepam
temazapam|Temazepam
temezepam|Temazepam
temzepam|Temazepam
toxotere|Taxotere
tramadole|Tramadol
trazadone|Trazodone
trazodne|Trazodone
triazalam|Triazolam
unisome|Unisom
vanlafaxine|venlafaxine
vanocomycin|Vancomycin
varapamil|Verapamil
warfrin|Warfarin
xarulto|Xarelto
zalpidem|zolpidem
zolipidem|zolpidem
zolpedem|zolpidem
